metric_type,metric_name,eval_type,data_task,model,eval_regime,fold,score
Regression,mae,test,SBSAT_STD,RoberteyeResidualGated,unseen_subject_unseen_item,0,0.6699791451295217
Regression,r2,test,SBSAT_STD,RoberteyeResidualGated,unseen_subject_unseen_item,0,-2.173578186920645
Regression,rmse,test,SBSAT_STD,RoberteyeResidualGated,unseen_subject_unseen_item,1,0.5626149841933139
Regression,mae,test,SBSAT_STD,RoberteyeResidualGated,unseen_subject_unseen_item,1,0.45101364453633624
Regression,r2,test,SBSAT_STD,RoberteyeResidualGated,unseen_subject_unseen_item,1,-0.035934757799849226
Regression,rmse,test,SBSAT_STD,RoberteyeResidualGated,unseen_subject_unseen_item,2,0.6661790117436625
Regression,mae,test,SBSAT_STD,RoberteyeResidualGated,unseen_subject_unseen_item,2,0.46995969116687775
Regression,r2,test,SBSAT_STD,RoberteyeResidualGated,unseen_subject_unseen_item,2,-0.18895636277279726
Regression,rmse,test,SBSAT_STD,RoberteyeResidualGated,unseen_subject_unseen_item,3,0.8878837485088211
Regression,mae,test,SBSAT_STD,RoberteyeResidualGated,unseen_subject_unseen_item,3,0.7355159365612528
Regression,r2,test,SBSAT_STD,RoberteyeResidualGated,unseen_subject_unseen_item,3,-1.2913767275173296
Regression,rmse,val,SBSAT_STD,RoberteyeResidualGated,all,0,0.6823777574210539
Regression,mae,val,SBSAT_STD,RoberteyeResidualGated,all,0,0.6045520631676047
Regression,r2,val,SBSAT_STD,RoberteyeResidualGated,all,0,-0.11202683163518201
Regression,rmse,val,SBSAT_STD,RoberteyeResidualGated,all,1,0.7272467020325348
Regression,mae,val,SBSAT_STD,RoberteyeResidualGated,all,1,0.5593013462900114
Regression,r2,val,SBSAT_STD,RoberteyeResidualGated,all,1,-0.005852759724032541
Regression,rmse,val,SBSAT_STD,RoberteyeResidualGated,all,2,0.6653185686050102
Regression,mae,val,SBSAT_STD,RoberteyeResidualGated,all,2,0.5281575682784329
Regression,r2,val,SBSAT_STD,RoberteyeResidualGated,all,2,0.11313672542963993
Regression,rmse,val,SBSAT_STD,RoberteyeResidualGated,all,3,0.6350831612705898
Regression,mae,val,SBSAT_STD,RoberteyeResidualGated,all,3,0.5101596335570018
Regression,r2,val,SBSAT_STD,RoberteyeResidualGated,all,3,0.049589109326784286
Regression,rmse,val,SBSAT_STD,RoberteyeResidualGated,seen_subject_unseen_item,0,0.6644187812264415
Regression,mae,val,SBSAT_STD,RoberteyeResidualGated,seen_subject_unseen_item,0,0.5804073164860407
Regression,r2,val,SBSAT_STD,RoberteyeResidualGated,seen_subject_unseen_item,0,-0.05948556043143194
Regression,rmse,val,SBSAT_STD,RoberteyeResidualGated,seen_subject_unseen_item,1,0.6714864440261674
Regression,mae,val,SBSAT_STD,RoberteyeResidualGated,seen_subject_unseen_item,1,0.49680761327134804
Regression,r2,val,SBSAT_STD,RoberteyeResidualGated,seen_subject_unseen_item,1,-0.39109629095613685
Regression,rmse,val,SBSAT_STD,RoberteyeResidualGated,seen_subject_unseen_item,2,0.790444332570002
Regression,mae,val,SBSAT_STD,RoberteyeResidualGated,seen_subject_unseen_item,2,0.6134529747861497
Regression,r2,val,SBSAT_STD,RoberteyeResidualGated,seen_subject_unseen_item,2,-0.07491289295055115
Regression,rmse,val,SBSAT_STD,RoberteyeResidualGated,seen_subject_unseen_item,3,0.6461441746447745
Regression,mae,val,SBSAT_STD,RoberteyeResidualGated,seen_subject_unseen_item,3,0.5259586274623871
Regression,r2,val,SBSAT_STD,RoberteyeResidualGated,seen_subject_unseen_item,3,-0.006197998285226269
Regression,rmse,val,SBSAT_STD,RoberteyeResidualGated,unseen_subject_seen_item,0,0.6728388036694333
Regression,mae,val,SBSAT_STD,RoberteyeResidualGated,unseen_subject_seen_item,0,0.6077141554459281
Regression,r2,val,SBSAT_STD,RoberteyeResidualGated,unseen_subject_seen_item,0,-0.2721629613685692
Regression,rmse,val,SBSAT_STD,RoberteyeResidualGated,unseen_subject_seen_item,1,0.7957067067618466
Regression,mae,val,SBSAT_STD,RoberteyeResidualGated,unseen_subject_seen_item,1,0.641929474969705
Regression,r2,val,SBSAT_STD,RoberteyeResidualGated,unseen_subject_seen_item,1,-0.30714665948032716
Regression,rmse,val,SBSAT_STD,RoberteyeResidualGated,unseen_subject_seen_item,2,0.5718089503291084
Regression,mae,val,SBSAT_STD,RoberteyeResidualGated,unseen_subject_seen_item,2,0.48845407490928966
Regression,r2,val,SBSAT_STD,RoberteyeResidualGated,unseen_subject_seen_item,2,0.32678422166344734
Regression,rmse,val,SBSAT_STD,RoberteyeResidualGated,unseen_subject_seen_item,3,0.6338143256763854
Regression,mae,val,SBSAT_STD,RoberteyeResidualGated,unseen_subject_seen_item,3,0.48985355099042255
Regression,r2,val,SBSAT_STD,RoberteyeResidualGated,unseen_subject_seen_item,3,0.09258405775221945
Regression,rmse,val,SBSAT_STD,RoberteyeResidualGated,unseen_subject_unseen_item,0,0.7361871358085037
Regression,mae,val,SBSAT_STD,RoberteyeResidualGated,unseen_subject_unseen_item,0,0.6486169151637865
Regression,r2,val,SBSAT_STD,RoberteyeResidualGated,unseen_subject_unseen_item,0,-0.5752907853512754
Regression,rmse,val,SBSAT_STD,RoberteyeResidualGated,unseen_subject_unseen_item,1,0.6878245956006387
Regression,mae,val,SBSAT_STD,RoberteyeResidualGated,unseen_subject_unseen_item,1,0.5164286494255066
Regression,r2,val,SBSAT_STD,RoberteyeResidualGated,unseen_subject_unseen_item,1,-1.2899759697848143
Regression,rmse,val,SBSAT_STD,RoberteyeResidualGated,unseen_subject_unseen_item,2,0.5632923560619288
Regression,mae,val,SBSAT_STD,RoberteyeResidualGated,unseen_subject_unseen_item,2,0.4405277172724406
Regression,r2,val,SBSAT_STD,RoberteyeResidualGated,unseen_subject_unseen_item,2,-0.03843072930188707
Regression,rmse,val,SBSAT_STD,RoberteyeResidualGated,unseen_subject_unseen_item,3,0.6149856266021618
Regression,mae,val,SBSAT_STD,RoberteyeResidualGated,unseen_subject_unseen_item,3,0.5191738108793894
Regression,r2,val,SBSAT_STD,RoberteyeResidualGated,unseen_subject_unseen_item,3,-0.013243799321386751
