Eval Type,Data,Model,seen_subject_unseen_item,unseen_subject_seen_item,unseen_subject_unseen_item,all
val,OneStop_RC,PostFusion,"[0.645055628751281, 0.5705145337771622, 0.5790273858261457, 0.5502533783783784, 0.548609633033266, 0.5902307868327286, 0.46590582830892907, 0.49793603547324194, 0.5827463455275317, 0.5966235364307555]","[0.6309324546952224, 0.7354445318646736, 0.520658762702799, 0.5236230641278632, 0.5250593136642789, 0.5429361498223056, 0.5653052648430152, 0.5369871218927823, 0.6918087318087318, 0.5943327378877657]","[0.5620915032679739, 0.47988849064117883, 0.4430091185410334, 0.4737654320987654, 0.6471111111111111, 0.6501068376068376, 0.35344827586206895, 0.45737583395107495, 0.5147190008920607, 0.5163817663817664]","[0.6360347784941148, 0.6504060274448498, 0.5473874926943308, 0.5324664267193002, 0.5414440316073077, 0.5754649782350614, 0.5115806382398822, 0.5153600690361491, 0.6384592422249001, 0.590367566601907]"
val,OneStop_RC,RandomForestMLArgs,"[0.5747236861367296, 0.5744587797944457, 0.6273699272626099, 0.5909786739864864, 0.5691928234277772, 0.5998659736523815, 0.5193439563594603, 0.5055059469126275, 0.5764598954783005, 0.5353493921992691]","[0.5989719934102141, 0.6056910569105691, 0.5953378498841149, 0.6057381368102406, 0.6444358674552452, 0.5894062212993652, 0.5953114681928242, 0.6528807277628033, 0.6154677754677755, 0.6479718543046358]","[0.6541394335511983, 0.5121465551573079, 0.5516717325227964, 0.5933641975308641, 0.5786666666666667, 0.6362179487179487, 0.6232758620689656, 0.5033358042994811, 0.4513826940231936, 0.49358974358974367]","[0.5921050452475305, 0.5827666319263505, 0.607822326125073, 0.5988518647522479, 0.6079486367952254, 0.6019469726948952, 0.5680514720806296, 0.5849983878921216, 0.5912005660648543, 0.5852348094057748]"
val,OneStop_RC,Roberta,"[0.5982972844385887, 0.5856395428886135, 0.6269128343733853, 0.5658321896114865, 0.5742321994215673, 0.528970939165114, 0.6382428940568474, 0.5573745391295827, 0.5629478148905551, 0.5802446118278769]","[0.685812191103789, 0.6797862575399947, 0.7156467284720984, 0.6019412961948941, 0.7491344178179381, 0.6124615661062972, 0.682778700498269, 0.6763767220724768, 0.6641839916839918, 0.742500653537818]","[0.5375816993464052, 0.5103544404619673, 0.5896656534954408, 0.5189043209876543, 0.5986666666666667, 0.6904380341880342, 0.646551724137931, 0.6827279466271312, 0.6128456735057984, 0.6684472934472935]","[0.6470172118057609, 0.6247405332638527, 0.6712367036820573, 0.5829946979372267, 0.670543553135863, 0.5840364068064899, 0.6641600412890056, 0.6313867920949816, 0.6240339860031621, 0.6752461981644001]"
val,OneStop_RC,RoberteyeFixation,"[0.6069389547650417, 0.5167124263997214, 0.5948765849199094, 0.6651578336148648, 0.662981557761891, 0.536595730770488, 0.5578344817685903, 0.5737208932005537, 0.5964704991289859, 0.5252349168468939]","[0.720843492586491, 0.5754655127196434, 0.7183098591549296, 0.6716223615832051, 0.7840642063320884, 0.6060376153016811, 0.6460288555820144, 0.6958108715184187, 0.7243762993762993, 0.4566323196235622]","[0.613289760348584, 0.5555555555555556, 0.5934650455927052, 0.5007716049382716, 0.7102222222222222, 0.7564102564102565, 0.5827586206896551, 0.698295033358043, 0.5280999107939339, 0.4964387464387464]","[0.6650334181108416, 0.5477353656418273, 0.6570333138515488, 0.65447063224841, 0.7214625959802015, 0.5893312227938267, 0.6025179334620716, 0.6479085271023783, 0.6730505588784841, 0.49466514816551665]"
val,OneStop_RC,RoberteyeWord,"[0.5950263504611331, 0.5640757748783114, 0.6013653165865098, 0.6146669130067568, 0.5652614841431809, 0.5579745676833056, 0.5947279643985071, 0.5784245274929875, 0.5826857532379005, 0.5935658885822954]","[0.7063986820428336, 0.6351691581431944, 0.718254145123908, 0.6794020105175067, 0.7308578628917826, 0.5981911112885836, 0.6434974886438678, 0.701828766097634, 0.7455197505197506, 0.6947651620773789]","[0.7086056644880174, 0.6037435284747111, 0.5729483282674772, 0.5115740740740741, 0.5813333333333333, 0.6672008547008548, 0.6629310344827587, 0.7405485544848036, 0.5539696699375558, 0.5954415954415955]","[0.6563293310463122, 0.5954099357304151, 0.6595254237288136, 0.64515912638518, 0.6537850841380998, 0.5893826671943015, 0.6228463898215643, 0.6511730455562721, 0.6767266636447058, 0.6347133829079297]"
val,OneStop_RC,SupportVectorMachineMLArgs,"[0.5354084321475625, 0.558762786403285, 0.5605002186096426, 0.5615498310810811, 0.5247336329831853, 0.5040453074433657, 0.5542635658914729, 0.5008635578583766, 0.5, 0.5690394511149228]","[0.5737462932454696, 0.5374508261211643, 0.49432831164200386, 0.4936564349991218, 0.49951754435753937, 0.500788643533123, 0.5048426150121066, 0.5015723270440252, 0.5, 0.5217192401533635]","[0.5032679738562091, 0.5657108721624851, 0.5919452887537995, 0.6180555555555556, 0.48666666666666675, 0.5, 0.5862068965517242, 0.5, 0.5, 0.5598290598290598]","[0.5487040870645294, 0.551741358346361, 0.5299415546464056, 0.5314408452339486, 0.5098885871661138, 0.5022556390977444, 0.528099140005683, 0.5011664074650077, 0.5, 0.5470009602286684]"
test,OneStop_RC,AhnCNN,"[0.4478720543578779, 0.5262976067545404, 0.4543518596609598, 0.5052809293631733, 0.510085239260697, 0.5264613786034233, 0.4800460620705278, 0.5098515423169875, 0.4894817968291251, 0.4971880935422601]","[0.4545500741915157, 0.5151558503489835, 0.5407173386282561, 0.4964768005540166, 0.5195546218487396, 0.4401190476190476, 0.4981877176321621, 0.42305738953783645, 0.464422596233961, 0.5147020465489567]","[0.49581839904420555, 0.5721884498480243, 0.4266975308641975, 0.536, 0.4786324786324787, 0.5836206896551724, 0.6486286137879911, 0.5352363960749331, 0.5181623931623931, 0.43464052287581695]","[0.4555771077328511, 0.5257569282356422, 0.4966912880064721, 0.5018581878244455, 0.5070410455380846, 0.4852921040081967, 0.49667150070763366, 0.4665581332247999, 0.47979271519924754, 0.5018997161778618]"
test,OneStop_RC,AhnRNN,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
test,OneStop_RC,BEyeLSTMArgs,"[0.5, 0.5212749802587621, 0.5054503668718899, 0.5032459375533871, 0.49262839447665174, 0.47212042068607213, 0.5640385486672204, 0.5390013929068895, 0.5073656782149147, 0.5013020833333334]","[0.5, 0.5835696015953526, 0.6157198626909874, 0.46662049861495847, 0.5185966386554622, 0.5631444991789819, 0.5620172522950301, 0.5498456850412158, 0.5456507248791869, 0.5357644462279294]","[0.5, 0.613981762917933, 0.5246913580246914, 0.4395555555555556, 0.49091880341880345, 0.5120689655172413, 0.4840622683469237, 0.5686886708296164, 0.5505698005698005, 0.49754901960784315]","[0.5, 0.5468822483024134, 0.5558625615182364, 0.481602465785748, 0.5048037574024912, 0.5233815412364077, 0.5585705216687342, 0.5480863443826407, 0.5268643698977264, 0.514384105960265]"
test,OneStop_RC,DummyClassifierMLArgs,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
test,OneStop_RC,LogisticMeziereArgs,"[0.5794042397660819, 0.5494151781666515, 0.5106160917601417, 0.5602608809253434, 0.5363321799307958, 0.5138660713032002, 0.4804904182588824, 0.5296829083325434, 0.5544509249440321, 0.5213304249762583]","[0.5140954652008729, 0.5046949977560673, 0.46864272733391665, 0.5425467451523545, 0.5024873949579832, 0.5611822660098522, 0.6050843551578629, 0.4295596016184251, 0.5167848145761321, 0.5720505617977528]","[0.5008183306055647, 0.6421052631578947, 0.5733024691358025, 0.5653333333333332, 0.639957264957265, 0.47758620689655173, 0.6900000000000001, 0.3212962962962963, 0.4764183185235817, 0.5408496732026145]","[0.5505965802822613, 0.5305521137026239, 0.4940567484662577, 0.5516184352457358, 0.5315515621809271, 0.5371120585860588, 0.5537623531242705, 0.47371621853940316, 0.533553094233474, 0.5462421948912015]"
test,OneStop_RC,LogisticMeziereArgsOLD,"[0.5382988721804511, 0.562218545047904, 0.5384266677911782, 0.5374940960114161, 0.5680388478092925, 0.5285395341000043, 0.5257346317596079, 0.49146838562896955, 0.5289045010015319, 0.4866452991452991]","[0.4953772936706814, 0.5075171747160563, 0.4728074308406812, 0.5364179362880886, 0.5175630252100841, 0.4837233169129721, 0.5156273592027781, 0.5236928104575164, 0.5030590125791954, 0.5487158908507224]","[0.5237315875613748, 0.593927125506073, 0.5555555555555556, 0.5466666666666666, 0.5833333333333333, 0.5499999999999999, 0.5428571428571429, 0.44722222222222224, 0.49043062200956944, 0.5310457516339869]","[0.5219832754757084, 0.5374088921282798, 0.5062719106047326, 0.5377030944515607, 0.5496957320808658, 0.5047535069951037, 0.5214788732394366, 0.5077727444643103, 0.5136603375527425, 0.5194134342478713]"
test,OneStop_RC,LogisticRegressionMLArgs,"[0.4744836723048973, 0.48726690153677943, 0.4384119085772118, 0.49884935031002214, 0.5259126054129851, 0.4623404524200682, 0.4738729895038889, 0.5282331511839709, 0.5180416911332942, 0.522962666191833]","[0.46446937821411877, 0.47171283651970347, 0.5244749949518746, 0.497948407202216, 0.5522268907563025, 0.5356732348111658, 0.5620449509338399, 0.38676407391491197, 0.46763039493417763, 0.5543338683788122]","[0.4611708482676224, 0.4346504559270517, 0.5262345679012346, 0.5688888888888889, 0.4198717948717948, 0.4103448275862069, 0.4833209785025945, 0.37912578055307766, 0.6260683760683762, 0.5250544662309369]","[0.48089040279792816, 0.47907375141998243, 0.4890857800175285, 0.5025555349558417, 0.5241249744741678, 0.49716583801955705, 0.5173705146797594, 0.44833248272401716, 0.5031227844813668, 0.5385439924314097]"
test,OneStop_RC,MAG,"[0.5185969790976644, 0.6235269999392576, 0.5925297292738466, 0.5659287099659327, 0.5574699585164603, 0.556721007624584, 0.6034886355055501, 0.5302808433634534, 0.5694032589547856, 0.6309836479107312]","[0.6957639693477244, 0.6780682360081502, 0.6742865316012654, 0.7008743074792244, 0.6290756302521008, 0.6209277504105091, 0.6837290281734726, 0.6801422041645505, 0.7411681386435595, 0.6826043338683789]","[0.4528076463560335, 0.5934650455927051, 0.4822530864197531, 0.5386666666666666, 0.607905982905983, 0.539655172413793, 0.7650111193476651, 0.5343443354148082, 0.48860398860398857, 0.7091503267973857]","[0.605819438311711, 0.647038948610335, 0.6334419031888358, 0.6357340895301018, 0.5995670818868695, 0.5935922678489644, 0.6519315779358064, 0.6180656498116814, 0.6478588876955799, 0.6563434247871335]"
test,OneStop_RC,PLMASArgs,"[0.5095067258691817, 0.5572875539087652, 0.5593109555536814, 0.6172707996261644, 0.5499263164045002, 0.5672381594282264, 0.575974099524277, 0.5023155588890079, 0.5219025249559601, 0.5573658594491927]","[0.5782872939406873, 0.583188104218147, 0.5846149962980414, 0.6687326869806094, 0.5553697478991597, 0.6198440065681445, 0.6074469768914214, 0.617197327811853, 0.5989585069155141, 0.6189907704654896]","[0.5551573078454799, 0.5144376899696049, 0.5231481481481481, 0.5680000000000001, 0.6639957264957265, 0.6301724137931035, 0.6048925129725723, 0.4513826940231936, 0.5811965811965812, 0.6840958605664488]","[0.5455749700372169, 0.5672167614539159, 0.5720585013146362, 0.6418311366547563, 0.558827036961405, 0.5986609440438924, 0.5949131911076944, 0.5616907098388579, 0.5566698956205558, 0.5951542100283822]"
test,OneStop_RC,PLMASfArgs,"[0.5940801857402391, 0.6043172568790621, 0.5879965421270136, 0.5201539559235848, 0.5386303290767802, 0.4978165325694708, 0.5489409499358151, 0.540995511744467, 0.5076042278332354, 0.5566610280151947]","[0.6140516698172652, 0.6130836259591624, 0.6109914518408831, 0.6580159279778394, 0.5781680672268907, 0.5927668308702791, 0.6505618866729979, 0.654381372817127, 0.6521246458923512, 0.618077849117175]","[0.5730784547988849, 0.6679331306990881, 0.5594135802469136, 0.5760000000000001, 0.5811965811965812, 0.6310344827586206, 0.6953298739807265, 0.5245316681534344, 0.6823361823361822, 0.5294117647058824]","[0.5965414888173988, 0.6085359661907215, 0.5989895840355963, 0.5964719712802535, 0.5595229732489279, 0.5541878550080032, 0.6088076614695872, 0.610022546530483, 0.5708685184015274, 0.5888249763481552]"
test,OneStop_RC,PostFusion,"[0.6025998386578431, 0.5623215695802709, 0.4887513704984398, 0.49805545227064885, 0.562708959535696, 0.5219540278304337, 0.5161594804802537, 0.5696155815088635, 0.5979301233118027, 0.4785657051282051]","[0.632843466065004, 0.6675553821476568, 0.47661035202261554, 0.49512638504155126, 0.5614369747899159, 0.5464532019704433, 0.5547720797720798, 0.4951205219361644, 0.6570821529745043, 0.5612459871589085]","[0.5240939864595778, 0.4886018237082067, 0.49537037037037035, 0.4906666666666667, 0.6698717948717948, 0.3586206896551724, 0.5129725722757599, 0.4701159678858163, 0.5477207977207977, 0.3954248366013072]","[0.6106003420313014, 0.6166951576317433, 0.48443715027303985, 0.49626466325085955, 0.5718652236062896, 0.5227157905671157, 0.5353729491726801, 0.5221944428293634, 0.6313570029692337, 0.5128760643330179]"
test,OneStop_RC,RandomForestMLArgs,"[0.5737550091492808, 0.6149167830893518, 0.5915282111832673, 0.5239023605904993, 0.5982393840440932, 0.47536402825168156, 0.4856716756022049, 0.5623653225710442, 0.515208455666471, 0.5798314339981007]","[0.556487184177897, 0.5817054666840075, 0.5987497475937269, 0.6637465373961219, 0.5459327731092437, 0.5904926108374384, 0.6242560937005381, 0.612204555221315, 0.6098483586068988, 0.5886837881219904]","[0.5173237753882916, 0.6702127659574468, 0.5725308641975309, 0.592, 0.7088675213675214, 0.5758620689655173, 0.5055596738324685, 0.4148082069580732, 0.5534188034188035, 0.6437908496732025]","[0.5674460494683796, 0.6026569651277893, 0.595216325085957, 0.5995036405312479, 0.5840196038390851, 0.5449003970895836, 0.5601352754918005, 0.5821785504325186, 0.5623135454615649, 0.5901570482497634]"
test,OneStop_RC,Roberta,"[0.550760472483292, 0.6303491161999635, 0.5409199207219363, 0.5183149262880744, 0.5897803774417834, 0.5641560301613379, 0.5796977648569055, 0.5102086979296879, 0.5550352319436289, 0.6035731244064578]","[0.6802853832550765, 0.678276325486626, 0.6961196742276369, 0.6398935249307478, 0.6745126050420168, 0.6435221674876848, 0.6988366571699904, 0.6909755049419855, 0.6083152807865355, 0.6927116773675763]","[0.41437674233373156, 0.6010638297872339, 0.501929012345679, 0.5924444444444443, 0.7203525641025641, 0.5646551724137931, 0.7190511489992587, 0.5138269402319358, 0.7133190883190883, 0.681917211328976]","[0.6021038779901455, 0.6515007067950952, 0.6234220151014629, 0.5864141609923819, 0.6379334286297734, 0.6056052901209211, 0.6497611129554239, 0.6176188107405038, 0.5790374207677891, 0.655476821192053]"
test,OneStop_RC,RoberteyeFixation,"[0.509972388191853, 0.6064584219158113, 0.6030403980770853, 0.6986403239907948, 0.6814726331985171, 0.6107249673533005, 0.5904345692063733, 0.5147921949593438, 0.5345126247798004, 0.5130616393637226]","[0.6815151330365673, 0.5893787662028005, 0.682658006326984, 0.693273891966759, 0.7117983193277311, 0.6474302134646962, 0.6449588477366255, 0.675071297417666, 0.7128395267455424, 0.4878260433386838]","[0.48785344484269216, 0.6322188449848024, 0.5362654320987654, 0.7848888888888887, 0.7585470085470085, 0.6499999999999999, 0.5174203113417346, 0.46922390722569135, 0.6581196581196582, 0.4011437908496732]","[0.5955742691534025, 0.6018606791807752, 0.6417279039978426, 0.6930829906290028, 0.7010136818460282, 0.6357352295423317, 0.6097104040598178, 0.603988603988604, 0.6293687395146741, 0.4965572374645223]"
test,OneStop_RC,RoberteyeWord,"[0.5175869509611664, 0.5890102047014518, 0.5949017458041663, 0.5000050246711352, 0.5712393775521465, 0.552550655040229, 0.5846107377482443, 0.5289712727835518, 0.573054903112155, 0.5653601317663818]","[0.727259792263756, 0.6043265270733083, 0.6779969038163829, 0.693957756232687, 0.6415042016806722, 0.620336617405583, 0.6578031022475467, 0.7038715474469665, 0.7355274120979837, 0.6643760032102728]","[0.4695340501792115, 0.6094224924012158, 0.46527777777777773, 0.5013333333333333, 0.6655982905982906, 0.5706896551724138, 0.6975537435137138, 0.49955396966993754, 0.6125356125356125, 0.5452069716775598]","[0.6183862851055181, 0.592445876298074, 0.6327930122025214, 0.6012501685431133, 0.6144169899938738, 0.5907120699179852, 0.6250317901288496, 0.6338783693281047, 0.6584714413067436, 0.618697256385998]"
test,OneStop_RC,SupportVectorMachineMLArgs,"[0.5061060791888294, 0.5521092753447123, 0.527694610778443, 0.5083761267825021, 0.5509877496965014, 0.5034542314335061, 0.5255701125122707, 0.5, 0.5, 0.4863782051282051]","[0.48913043478260865, 0.4816361035245155, 0.493319647304301, 0.47466239612188366, 0.5664705882352942, 0.49702380952380953, 0.5396011396011395, 0.5, 0.5, 0.5360754414125201]","[0.5256869772998806, 0.4171732522796353, 0.5694444444444445, 0.46, 0.5881410256410257, 0.5, 0.4714603409933284, 0.5, 0.5, 0.5506535947712418]","[0.5034106758622623, 0.5108576145756856, 0.5127523933122093, 0.48903627047798826, 0.561792934449663, 0.4998607117394035, 0.5295983086680761, 0.5, 0.5, 0.5098845789971618]"
